,person_id,entity_id,number
0,10001,1045,6
1,10002,1045,7
2,10003,1045,15
3,10004,1045,8
4,10005,1045,1
5,10006,1045,69
6,10007,1045,30
7,10008,1045,29
8,10009,1045,16
9,10010,1045,36
10,10011,1045,16
11,10012,1045,5
12,10013,1045,22
13,10014,1045,45
14,10015,1045,12
15,10016,1045,34
16,10017,1045,24
17,10018,1045,4
18,10019,1045,3
19,10020,1045,60
20,10021,1045,33
21,10022,1045,3
22,10023,1045,1
23,10024,1045,27
24,10025,1045,11
25,10026,1045,74
26,10027,1045,4
27,10028,1045,3
28,10029,1045,19
29,10030,1045,6
30,10031,1045,5
31,10032,1045,34
32,10033,1045,3
33,10034,1045,44
34,10035,1045,34
35,10036,1045,35
36,10037,1045,4
37,10038,1045,36
38,10039,1045,3
39,10040,1045,33
40,10041,1045,7
41,10042,1045,6
42,10043,1200,6
43,10044,1029,3
44,10045,1067,2
45,10046,1067,10
46,10047,1067,3
47,10048,1067,14
48,10049,1067,2
49,10050,1067,6
50,10051,1067,2
51,10052,1067,2
52,10053,1091,12
53,10054,1200,1
54,10055,1200,1
55,10056,1200,1
56,10057,1200,1
57,10058,1200,1
58,10059,1200,1
59,10060,1200,1
60,10061,1200,1
61,10062,1200,1
62,10063,1200,1
63,10064,1200,1
64,10065,1200,1
65,10066,1200,1
66,10067,1200,1
67,10068,1200,1
68,10069,1200,1
69,10070,1200,1
70,10071,1200,1
71,10072,1200,1
72,10073,1200,1
73,10074,1200,1
74,10075,1200,1
75,10076,1200,1
76,10077,1200,1
77,10078,1200,1
78,10079,1200,1
79,10080,1200,1
80,10081,1200,1
81,10082,1200,1
82,10083,1200,1
83,10084,1104,6
84,10085,1999,1
85,10086,1999,2
86,10087,1999,1
87,10088,1999,1
88,10089,1999,1
89,10090,1999,1
90,10091,1999,1
91,10092,1999,1
92,10093,1999,1
93,10094,1999,1
94,10095,1999,1
95,10096,1999,1
96,10097,1999,2
97,10098,1999,1
98,10099,1999,2
99,10100,1999,1
100,10101,1999,1
101,10102,1999,1
102,10103,1999,1
103,10104,1999,1
104,10105,1999,1
105,10106,1999,1
106,10107,1999,1
107,10108,1999,4
108,10109,1999,1
109,10110,1999,1
110,10111,1999,1
111,10112,1999,1
112,10113,1999,1
113,10114,1999,1
114,10115,1999,1
115,10116,1999,1
116,10117,1999,1
117,10118,1999,1
118,10119,1999,1
119,10120,1999,1
120,10121,1999,1
121,10122,1999,1
122,10123,1999,1
123,10124,1999,1
124,10125,1999,1
125,10126,1999,3
126,10127,1999,1
127,10128,1999,1
128,10129,1999,1
129,10130,1999,1
130,10131,1999,1
131,10132,1999,1
132,10133,1999,2
133,10134,1999,1
134,10135,1999,1
135,10136,1999,1
136,10137,1999,1
137,10138,1999,1
138,10139,1999,1
139,10140,1999,1
140,10141,1999,1
141,10142,1999,2
142,10143,1999,1
143,10144,1999,1
144,10145,1999,1
145,10146,1999,1
146,10147,1999,1
147,10148,1999,1
148,10149,1999,1
149,10150,1999,2
150,10151,1999,1
151,10152,1999,1
152,10153,1999,5
153,10154,1999,1
154,10155,1999,1
155,10156,1999,1
156,10157,1999,1
157,10158,1999,2
158,10159,1999,1
159,10160,1999,1
160,10161,1999,1
161,10162,1999,1
162,10163,1999,1
163,10164,1999,1
164,10165,1999,1
165,10166,1999,9
166,10167,1999,1
167,10168,1999,1
168,10169,1999,1
169,10170,1999,1
170,10171,1999,2
171,10172,1011,12
172,10173,1011,7
173,10174,1011,7
174,10175,1051,7
175,10176,1022,1
176,10177,1022,1
177,10178,1019,1
178,10179,1019,1
179,10180,1045,6
180,10181,1003,1
181,10182,1003,19
182,10183,1003,2
183,10184,1021,5
184,10185,1021,2
185,10186,1021,1
186,10187,1021,1
187,10188,1005,1
188,10189,1005,14
189,10190,1200,1
190,10191,1091,13
191,10192,1127,14
192,10193,1206,1
193,10194,1029,8
194,10195,1174,3
195,10196,1999,1
196,10197,1999,4
197,10198,1998,1
198,10199,1998,1
199,10200,1998,1
200,10201,1998,8
