,school,school_year,total_enroll,projected_enroll,hispanic,amer_indian,black,white,asian,pac_islander,multi_racial,total_minority,frl,ell,spec_ed,gifted
0,A. Buffett Magnet,2011-2012,1389,1401.0,122,8,194,941,39,0,85,448,371,18,158,457.0
1,Accelere,2011-2012,124,,29,2,67,20,2,0,4,104,87,5,7,
2,Adams Elementary,2011-2012,278,286.0,30,6,76,146,2,3,15,132,192,27,57,39.0
3,Ashland Park/Robbins*,2011-2012,1166,1208.0,751,20,46,294,11,1,43,872,980,356,236,132.0
4,Bancroft Elementary*,2011-2012,701,691.0,460,6,33,171,5,0,26,530,636,223,94,64.0
5,Beals Elementary*,2011-2012,442,450.0,176,5,51,162,22,3,23,280,337,117,67,63.0
6,Belle Ryan Elementary*,2011-2012,309,312.0,103,1,49,118,20,0,18,191,243,59,76,41.0
7,Belvedere Elementary*,2011-2012,538,540.0,42,3,411,55,2,0,25,483,508,18,63,21.0
8,Benson Magnet,2011-2012,1288,1308.0,179,18,499,362,102,7,121,926,1027,95,220,39.0
9,Benson West Elementary,2011-2012,585,579.0,91,8,160,272,14,1,39,313,455,45,79,74.0
10,Beveridge Magnet,2011-2012,761,791.0,229,9,132,300,40,1,50,461,497,69,132,83.0
11,Blackburn High,2011-2012,117,,16,5,78,10,0,0,8,107,98,3,37,
12,Boyd Elementary*,2011-2012,550,509.0,52,5,186,257,20,0,30,293,329,36,71,60.0
13,Bryan High,2011-2012,1638,1644.0,898,23,181,430,25,2,79,1208,1297,111,245,61.0
14,Bryan Middle,2011-2012,721,719.0,411,7,81,195,6,0,21,526,586,46,116,60.0
15,Burke High,2011-2012,2063,2097.0,307,18,368,1150,73,1,146,913,928,47,227,302.0
16,Castelar Elementary*,2011-2012,627,646.0,536,14,17,53,0,0,7,574,593,332,59,25.0
17,Catlin Magnet,2011-2012,245,258.0,70,2,21,135,5,0,12,110,151,24,35,66.0
18,Central High,2011-2012,2397,2297.0,436,25,717,930,52,3,234,1467,1392,66,256,310.0
19,Central Park Elementary*,2011-2012,427,444.0,16,1,315,41,26,0,28,386,380,27,58,47.0
20,Chandler View Elementary,2011-2012,708,676.0,351,8,81,223,7,3,35,485,571,172,130,126.0
21,Columbian Elementary*,2011-2012,339,333.0,26,2,28,261,4,3,15,78,72,9,60,115.0
22,Conestoga Magnet,2011-2012,361,337.0,72,8,247,19,1,0,14,342,344,42,82,15.0
23,Crestridge Magnet,2011-2012,410,435.0,161,2,55,168,11,0,13,242,235,79,55,91.0
24,Dodge Elementary*,2011-2012,375,367.0,46,5,82,212,9,4,17,163,227,17,88,51.0
25,Druid Hill Elementary*,2011-2012,323,273.0,18,2,225,41,20,0,17,282,314,36,82,26.0
26,Dundee Elementary,2011-2012,545,543.0,74,3,41,355,24,1,47,190,230,50,82,128.0
27,ESL Teen Literacy,2011-2012,45,,4,0,12,0,27,1,1,45,43,45,0,
28,Early Childhood @ Indian Hill,2011-2012,188,,144,2,19,16,1,0,6,172,185,0,18,0.0
29,Early Childhood Center,2011-2012,30,,21,0,1,5,1,0,2,25,22,0,10,0.0
30,Early Childhood Educare,2011-2012,171,,21,0,122,21,0,0,7,150,166,0,13,0.0
31,Early Childhood@ Yates,2011-2012,61,,25,10,7,5,10,0,4,56,41,0,16,0.0
32,Edison Elementary,2011-2012,365,360.0,48,0,91,161,35,0,30,204,248,51,89,53.0
33,Field Club Elementary,2011-2012,728,696.0,458,17,54,153,11,1,34,575,647,331,114,70.0
34,Florence Elementary,2011-2012,302,299.0,42,3,74,162,0,0,21,140,228,24,59,43.0
35,Fontenelle Elementary*,2011-2012,631,622.0,79,5,383,88,21,0,55,543,564,66,106,82.0
36,Franklin Elementary,2011-2012,268,237.0,60,7,129,14,46,0,12,254,267,73,36,45.0
37,Fullerton Magnet,2011-2012,585,590.0,63,1,109,364,10,1,37,221,211,35,90,117.0
38,Gateway to College,2011-2012,45,,10,2,9,20,0,0,4,25,17,1,2,1.0
39,Gilder Elementary,2011-2012,470,459.0,244,6,44,158,3,2,13,312,394,143,48,41.0
40,Gomez Heritage Elementary*,2011-2012,836,860.0,747,13,14,56,2,0,4,780,743,460,94,43.0
41,Hale Middle,2011-2012,360,318.0,34,5,203,79,6,1,32,281,290,3,92,18.0
42,Harrison Elementary,2011-2012,319,300.0,32,4,63,162,36,1,21,157,157,55,41,71.0
43,Hartman Elementary*,2011-2012,376,361.0,39,4,159,108,30,1,35,268,313,50,66,37.0
44,Highland Elementary*,2011-2012,541,547.0,436,9,52,30,6,0,8,511,498,235,63,51.0
45,Homebased PK*,2011-2012,270,,70,1,44,136,3,1,15,134,1,0,269,0.0
46,Homebound,2011-2012,8,,0,0,1,5,1,0,1,3,2,0,8,0.0
47,Independent Study Program,2011-2012,297,,73,7,113,89,1,0,14,208,164,5,33,1.0
48,Indian Hill Elementary*,2011-2012,607,547.0,355,14,162,42,4,4,26,565,580,230,73,46.0
49,Integrated Learning Program at DH,2011-2012,105,,4,6,47,43,0,0,5,62,85,0,103,1.0
50,Interim/Contracted Elementary,2011-2012,51,,18,1,16,13,0,0,3,38,13,0,49,0.0
51,Interim/Contracted Secondary,2011-2012,179,,38,7,82,47,0,1,4,132,117,1,97,3.0
52,J P Lord,2011-2012,31,,10,0,8,12,0,0,1,19,16,0,31,
53,Jackson Elementary*,2011-2012,267,322.0,233,2,4,13,10,0,5,254,253,166,34,21.0
54,Jefferson Elementary,2011-2012,557,549.0,296,4,44,170,18,1,24,387,455,191,67,96.0
55,Joslyn Elementary*,2011-2012,441,454.0,56,4,71,265,19,0,26,176,198,30,65,93.0
56,Kellom Elementary*,2011-2012,430,448.0,157,5,156,40,49,0,23,390,401,152,90,24.0
57,Kennedy Elementary*,2011-2012,309,259.0,29,1,202,17,49,0,11,292,296,59,43,13.0
58,King Elementary*,2011-2012,333,306.0,50,1,220,44,2,0,16,289,308,21,54,60.0
59,King Science Magnet,2011-2012,566,586.0,45,7,306,172,8,0,28,394,423,9,84,72.0
60,Lewis & Clark Middle,2011-2012,646,599.0,115,11,197,241,48,1,33,405,457,59,143,59.0
61,Liberty Elementary*,2011-2012,656,574.0,430,9,90,101,5,0,21,555,620,285,92,63.0
62,"Lord, JP",2011-2012,29,,11,1,9,7,1,0,0,22,22,0,29,0.0
63,Lothrop Magnet Elementary*,2011-2012,308,319.0,20,4,241,24,3,0,16,284,284,9,65,22.0
64,Marrs Magnet,2011-2012,1037,1091.0,814,16,39,130,9,3,26,907,895,322,118,118.0
65,Masters Elementary,2011-2012,320,333.0,44,2,91,161,2,0,20,159,225,15,58,39.0
66,McMillan Magnet,2011-2012,585,666.0,88,4,221,210,9,1,52,375,425,7,106,83.0
67,Miller Park Elementary*,2011-2012,350,311.0,24,2,253,38,1,0,32,312,330,13,57,49.0
68,Minne Lusa Elementary*,2011-2012,474,499.0,44,6,258,138,1,0,27,336,411,7,80,64.0
69,Monroe Middle,2011-2012,497,529.0,55,6,251,117,14,2,52,380,435,18,105,18.0
70,Morton Magnet,2011-2012,749,762.0,76,8,241,343,11,1,69,406,449,14,114,92.0
71,Mount View Elementary*,2011-2012,440,387.0,32,3,325,38,2,0,40,402,403,6,83,35.0
72,Norris Middle,2011-2012,742,653.0,475,14,61,148,6,1,37,594,666,81,139,63.0
73,North Magnet,2011-2012,1797,1791.0,187,22,672,702,35,3,176,1095,1139,11,228,210.0
74,Northwest High,2011-2012,1126,1080.0,155,17,489,324,15,0,126,802,859,46,202,67.0
75,Oak Valley Elementary*,2011-2012,301,270.0,102,5,41,137,2,4,10,164,210,66,77,29.0
76,Parrish,2011-2012,69,,15,0,36,10,1,0,7,59,60,3,17,
77,Parrish Elementary,2011-2012,0,,0,0,0,0,0,0,0,0,0,0,0,0.0
78,Pawnee Elementary,2011-2012,599,634.0,257,1,44,267,15,0,15,332,402,193,59,96.0
79,Picotte Elementary,2011-2012,550,561.0,30,1,41,417,22,1,38,133,120,13,114,132.0
80,Pinewood Elementary*,2011-2012,282,296.0,33,1,97,123,11,0,17,159,180,7,55,15.0
81,Ponca Elementary,2011-2012,148,142.0,27,2,12,103,0,0,4,45,76,8,14,44.0
82,Prairie Wind Elementary,2011-2012,805,798.0,71,9,235,387,18,0,85,418,461,22,100,90.0
83,Rose Hill Elementary,2011-2012,355,326.0,37,5,77,170,55,0,11,185,251,59,44,67.0
84,Saddlebrook Elementary,2011-2012,436,441.0,31,2,37,323,16,0,27,113,40,2,55,83.0
85,Saratoga Elementary*,2011-2012,250,207.0,11,11,193,18,0,0,17,232,237,2,45,31.0
86,Secondary Success Program,2011-2012,3,,0,0,2,1,0,0,0,2,3,0,1,
87,Sherman Elementary*,2011-2012,237,228.0,121,5,6,94,0,0,11,143,228,55,48,34.0
88,Skinner Magnet,2011-2012,430,429.0,43,3,302,51,1,1,29,379,378,5,69,42.0
89,South Magnet,2011-2012,2078,2001.0,1365,25,246,262,103,1,76,1816,1803,240,275,67.0
90,Spring Lake Magnet*,2011-2012,779,714.0,620,9,23,109,3,1,14,670,696,399,88,83.0
91,Springville Elementary,2011-2012,414,422.0,40,10,120,197,7,1,39,217,165,13,34,60.0
92,Standing Bear Elementary*,2011-2012,582,584.0,40,4,41,440,38,0,19,142,128,15,76,101.0
93,Sunny Slope Elementary*,2011-2012,453,455.0,44,1,120,255,8,1,24,198,252,15,72,81.0
94,Transition Program at PVA&CC,2011-2012,95,,14,1,21,49,1,0,9,46,66,0,93,
95,Wakonda Elementary*,2011-2012,314,302.0,20,8,239,28,4,0,15,286,291,9,70,37.0
96,Walnut Hill Elementary,2011-2012,413,418.0,106,9,156,57,55,0,30,356,395,115,42,50.0
97,Washington Elementary*,2011-2012,299,289.0,54,4,44,166,12,1,18,133,160,24,68,30.0
98,Western Hills Magnet,2011-2012,377,371.0,35,1,125,183,7,0,26,194,293,35,74,24.0
99,Wilson Focus School,2011-2012,154,,12,1,59,73,6,0,3,81,74,3,20,48.0
