,school,school_year,total_enroll,projected_enroll,hispanic,amer_indian,black,white,asian,pac_islander,multi_racial,total_minority,frl,ell,spec_ed,gifted,Unnamed: 16,Unnamed: 17,Unnamed: 18
0,Benson Magnet,2012-2013,1132.0,1158.0,154.0,13.0,451.0,314.0,92.0,7.0,101.0,818,922.0,93.0,204.0,69.0,,,
1,Bryan High,2012-2013,1611.0,1657.0,897.0,12.0,208.0,388.0,40.0,2.0,64.0,1223,1330.0,119.0,255.0,142.0,,,
2,Burke High,2012-2013,2117.0,2024.0,302.0,16.0,395.0,1184.0,66.0,3.0,151.0,933,952.0,41.0,251.0,518.0,,,
3,Central High,2012-2013,2432.0,2510.0,475.0,23.0,663.0,975.0,73.0,1.0,222.0,1457,1415.0,63.0,287.0,436.0,,,
4,North Magnet,2012-2013,1617.0,1792.0,168.0,21.0,582.0,676.0,30.0,2.0,138.0,941,1023.0,9.0,225.0,253.0,,,
5,Northwest High,2012-2013,1213.0,1187.0,156.0,17.0,553.0,336.0,30.0,2.0,119.0,877,956.0,43.0,217.0,103.0,,,
6,South Magnet,2012-2013,2222.0,2256.0,1533.0,30.0,239.0,238.0,103.0,,79.0,1984,1970.0,191.0,268.0,180.0,,,
7,Beveridge Magnet,2012-2013,749.0,768.0,226.0,9.0,136.0,306.0,42.0,,30.0,443,508.0,65.0,125.0,165.0,,,
8,Bryan Middle,2012-2013,732.0,734.0,421.0,14.0,90.0,181.0,7.0,,19.0,551,614.0,29.0,132.0,33.0,,,
9,A. Buffett Magnet,2012-2013,772.0,771.0,74.0,4.0,117.0,505.0,23.0,,49.0,267,249.0,9.0,92.0,302.0,,,
10,Hale Middle,2012-2013,364.0,404.0,30.0,9.0,211.0,87.0,5.0,1.0,21.0,277,307.0,3.0,87.0,8.0,,,
11,King Science Magnet,2012-2013,323.0,299.0,29.0,3.0,164.0,101.0,5.0,,21.0,222,225.0,1.0,37.0,39.0,,,
12,Lewis & Clark Middle,2012-2013,673.0,680.0,123.0,8.0,185.0,238.0,73.0,2.0,44.0,435,486.0,71.0,124.0,72.0,,,
13,Marrs Magnet,2012-2013,567.0,558.0,445.0,6.0,26.0,68.0,8.0,1.0,13.0,499,489.0,79.0,70.0,52.0,,,
14,McMillan Magnet,2012-2013,567.0,585.0,80.0,4.0,248.0,179.0,10.0,,46.0,388,422.0,8.0,107.0,66.0,,,
15,Monroe Middle,2012-2013,488.0,497.0,52.0,7.0,274.0,103.0,15.0,,37.0,385,443.0,15.0,105.0,16.0,,,
16,Morton Magnet,2012-2013,647.0,674.0,65.0,6.0,219.0,287.0,16.0,,54.0,360,387.0,8.0,131.0,52.0,,,
17,Norris Middle,2012-2013,805.0,846.0,533.0,15.0,73.0,146.0,6.0,1.0,31.0,659,734.0,67.0,144.0,86.0,,,
18,Accelere,2012-2013,163.0,,34.0,3.0,79.0,36.0,1.0,,10.0,127,133.0,5.0,21.0,1.0,,,
19,Blackburn High,2012-2013,133.0,,25.0,3.0,81.0,13.0,,,11.0,120,126.0,,40.0,,,,
20,ESL Teen Literacy,2012-2013,49.0,,10.0,,7.0,,31.0,,1.0,49,48.0,49.0,1.0,,,,
21,Gateway to College,2012-2013,40.0,,5.0,1.0,11.0,16.0,1.0,,6.0,24,17.0,,5.0,2.0,,,
22,Homebound,2012-2013,7.0,,4.0,,1.0,2.0,,,,5,5.0,,5.0,,,,
23,Independent Study Program,2012-2013,366.0,,110.0,6.0,126.0,96.0,1.0,1.0,26.0,270,259.0,11.0,57.0,2.0,,,
24,Integrated Learning Program at DH,2012-2013,81.0,,7.0,3.0,33.0,30.0,,,8.0,51,71.0,,80.0,,,,
25,Interim/Contracted Secondary,2012-2013,166.0,,33.0,4.0,90.0,32.0,1.0,1.0,5.0,134,126.0,,90.0,1.0,,,
26,J P Lord,2012-2013,37.0,,12.0,,9.0,15.0,,,1.0,22,19.0,,37.0,,,,
27,Parrish,2012-2013,36.0,,7.0,1.0,22.0,4.0,,,2.0,32,33.0,,4.0,,,,
28,Secondary Success Program,2012-2013,3.0,,1.0,,2.0,,,,,3,2.0,,3.0,,,,
29,Transition Program at PVA&CC,2012-2013,104.0,,20.0,2.0,24.0,48.0,4.0,,6.0,56,71.0,,104.0,,,,
30,UNO/OPS Middle College Program,2012-2013,30.0,,4.0,,,24.0,1.0,,1.0,6,15.0,,,6.0,,,
31,Adams Elementary,2012-2013,299.0,271.0,33.0,6.0,87.0,145.0,8.0,4.0,16.0,154,209.0,28.0,51.0,45.0,,,
32,Ashland Park/Robbins*,2012-2013,1171.0,1171.0,785.0,20.0,45.0,268.0,12.0,,41.0,903,997.0,355.0,253.0,117.0,,,
33,Bancroft Elementary*,2012-2013,724.0,743.0,487.0,9.0,24.0,179.0,2.0,,23.0,545,651.0,206.0,93.0,48.0,,,
34,Beals Elementary*,2012-2013,427.0,442.0,164.0,5.0,47.0,151.0,31.0,3.0,26.0,276,324.0,98.0,65.0,87.0,,,
35,Belle Ryan Elementary*,2012-2013,292.0,294.0,105.0,1.0,38.0,107.0,23.0,,18.0,185,231.0,64.0,59.0,40.0,,,
36,Belvedere Elementary*,2012-2013,573.0,530.0,54.0,1.0,414.0,67.0,5.0,,32.0,506,541.0,21.0,66.0,30.0,,,
37,Benson West Elementary,2012-2013,603.0,582.0,80.0,5.0,178.0,264.0,35.0,,41.0,339,491.0,56.0,81.0,57.0,,,
38,Boyd Elementary*,2012-2013,532.0,564.0,60.0,7.0,174.0,229.0,25.0,,37.0,303,327.0,35.0,65.0,68.0,,,
39,A. Buffett Magnet,2012-2013,573.0,618.0,40.0,6.0,96.0,383.0,15.0,,33.0,190,180.0,6.0,64.0,230.0,,,
40,Castelar Elementary*,2012-2013,564.0,576.0,490.0,10.0,13.0,46.0,,,5.0,518,519.0,299.0,57.0,37.0,,,
41,Catlin Magnet,2012-2013,266.0,233.0,73.0,1.0,18.0,158.0,4.0,1.0,11.0,108,150.0,25.0,48.0,65.0,,,
42,Central Park Elementary*,2012-2013,452.0,455.0,15.0,0.0,340.0,41.0,21.0,,35.0,411,410.0,16.0,66.0,58.0,,,
43,Chandler View Elementary,2012-2013,735.0,666.0,385.0,9.0,74.0,222.0,6.0,3.0,36.0,513,605.0,182.0,145.0,120.0,,,
