,school,school_year,total_enroll,projected_enroll,hispanic,amer_indian,black,white,asian,pac_islander,multi_racial,total_minority,frl,ell,spec_ed,gifted
0,Benson Magnet,2013-2014,"1,143","1,086",167,14,436,303,121.0,5,97.0,840,946,124.0,222,90
1,Bryan High,2013-2014,"1,596","1,603",919,12,205,353,47.0,3,57.0,"1,243","1,331",130.0,253,149
2,Burke High,2013-2014,"2,070","2,164",315,12,414,"1,121",80.0,4,124.0,949,969,41.0,278,561
3,Central High,2013-2014,"2,411","2,428",506,21,619,972,92.0,3,198.0,"1,439","1,391",94.0,302,564
4,North Magnet,2013-2014,"1,629","1,492",182,21,608,652,28.0,2,136.0,977,"1,033",5.0,241,319
5,Northwest High,2013-2014,"1,250","1,285",174,11,531,372,60.0,3,99.0,878,954,70.0,215,140
6,South Magnet,2013-2014,"2,272","2,262","1,602",41,239,226,94.0,0,70.0,"2,046","2,003",200.0,285,287
7,Total Senior High,2013-2014,"12,371","12,320","3,865",132,"3,052","3,999",522.0,20,781.0,"8,372","8,627",664.0,"1,796","2,110"
8,Beveridge Magnet,2013-2014,742,738,211,8,131,318,44.0,1,29.0,424,507,54.0,145,58
9,Bryan Middle,2013-2014,751,735,426,20,99,173,12.0,2,19.0,578,639,41.0,155,13
10,A. Buffett Magnet,2013-2014,720,727,67,6,121,461,22.0,0,43.0,259,221,3.0,86,104
11,Davis Middle,2013-2014,206,426,29,1,58,105,2.0,0,11.0,101,109,2.0,39,15
12,Hale Middle,2013-2014,313,335,33,6,172,74,5.0,1,22.0,239,270,0.0,75,6
13,King Science Magnet,2013-2014,342,300,27,2,183,105,6.0,0,19.0,237,245,2.0,51,25
14,Lewis & Clark Middle,2013-2014,687,693,112,4,203,242,91.0,1,34.0,445,500,83.0,119,49
15,Marrs Magnet,2013-2014,648,603,517,4,30,76,11.0,1,9.0,572,561,69.0,86,36
16,McMillan Magnet,2013-2014,493,564,56,6,250,139,10.0,0,32.0,354,387,7.0,99,32
