,Unnamed: 16,Unnamed: 17,Unnamed: 18,amer_indian,asian,black,ell,frl,gifted,hispanic,multi_racial,pac_islander,projected_enroll,school,school_year,spec_ed,total_enroll,total_minority,white
0,,,,8.0,39.0,194.0,18.0,,457.0,,85.0,0.0,,A. Buffett Magnet,2011-2012,158.0,,,
1,,,,2.0,2.0,67.0,5.0,,,,4.0,0.0,,Accelere,2011-2012,7.0,,,
2,,,,6.0,2.0,76.0,27.0,,39.0,,15.0,3.0,,Adams Elementary,2011-2012,57.0,,,
3,,,,20.0,11.0,46.0,356.0,,132.0,,43.0,1.0,,Ashland Park/Robbins*,2011-2012,236.0,,,
4,,,,6.0,5.0,33.0,223.0,,64.0,,26.0,0.0,,Bancroft Elementary*,2011-2012,94.0,,,
5,,,,5.0,22.0,51.0,117.0,,63.0,,23.0,3.0,,Beals Elementary*,2011-2012,67.0,,,
6,,,,1.0,20.0,49.0,59.0,,41.0,,18.0,0.0,,Belle Ryan Elementary*,2011-2012,76.0,,,
7,,,,3.0,2.0,411.0,18.0,,21.0,,25.0,0.0,,Belvedere Elementary*,2011-2012,63.0,,,
8,,,,18.0,102.0,499.0,95.0,,39.0,,121.0,7.0,,Benson Magnet,2011-2012,220.0,,,
9,,,,8.0,14.0,160.0,45.0,,74.0,,39.0,1.0,,Benson West Elementary,2011-2012,79.0,,,
10,,,,9.0,40.0,132.0,69.0,,83.0,,50.0,1.0,,Beveridge Magnet,2011-2012,132.0,,,
11,,,,5.0,0.0,78.0,3.0,,,,8.0,0.0,,Blackburn High,2011-2012,37.0,,,
12,,,,5.0,20.0,186.0,36.0,,60.0,,30.0,0.0,,Boyd Elementary*,2011-2012,71.0,,,
13,,,,23.0,25.0,181.0,111.0,,61.0,,79.0,2.0,,Bryan High,2011-2012,245.0,,,
14,,,,7.0,6.0,81.0,46.0,,60.0,,21.0,0.0,,Bryan Middle,2011-2012,116.0,,,
15,,,,18.0,73.0,368.0,47.0,,302.0,,146.0,1.0,,Burke High,2011-2012,227.0,,,
16,,,,14.0,0.0,17.0,332.0,,25.0,,7.0,0.0,,Castelar Elementary*,2011-2012,59.0,,,
17,,,,2.0,5.0,21.0,24.0,,66.0,,12.0,0.0,,Catlin Magnet,2011-2012,35.0,,,
18,,,,25.0,52.0,717.0,66.0,,310.0,,234.0,3.0,,Central High,2011-2012,256.0,,,
19,,,,1.0,26.0,315.0,27.0,,47.0,,28.0,0.0,,Central Park Elementary*,2011-2012,58.0,,,
20,,,,8.0,7.0,81.0,172.0,,126.0,,35.0,3.0,,Chandler View Elementary,2011-2012,130.0,,,
21,,,,2.0,4.0,28.0,9.0,,115.0,,15.0,3.0,,Columbian Elementary*,2011-2012,60.0,,,
22,,,,8.0,1.0,247.0,42.0,,15.0,,14.0,0.0,,Conestoga Magnet,2011-2012,82.0,,,
