,Unnamed: 0,entity_type,entity,demographic,demographic_type,variable,value,statement_id,statement,subscale,entity_first_x,entity_id,entity_parent,entity_first_y
0,0.0,ALT,ACCELERE,ELL,ELL,-2,0.0,Q34,The atmosphere at this school is positive,School Climate,ACCELERE,1217,OPS,ACCELERE
1,1.0,ALT,ACCELERE,Former ELL,ELL,-2,0.0,Q34,The atmosphere at this school is positive,School Climate,ACCELERE,1217,OPS,ACCELERE
2,2.0,ALT,ACCELERE,Not ELL,ELL,-2,0.0,Q34,The atmosphere at this school is positive,School Climate,ACCELERE,1217,OPS,ACCELERE
3,248.0,ALT,ACCELERE,ELL,ELL,-1,0.0,Q34,The atmosphere at this school is positive,School Climate,ACCELERE,1217,OPS,ACCELERE
4,249.0,ALT,ACCELERE,Former ELL,ELL,-1,0.0,Q34,The atmosphere at this school is positive,School Climate,ACCELERE,1217,OPS,ACCELERE
5,250.0,ALT,ACCELERE,Not ELL,ELL,-1,0.0,Q34,The atmosphere at this school is positive,School Climate,ACCELERE,1217,OPS,ACCELERE
6,496.0,ALT,ACCELERE,ELL,ELL,0,0.0,Q34,The atmosphere at this school is positive,School Climate,ACCELERE,1217,OPS,ACCELERE
7,497.0,ALT,ACCELERE,Former ELL,ELL,0,2.0,Q34,The atmosphere at this school is positive,School Climate,ACCELERE,1217,OPS,ACCELERE
8,498.0,ALT,ACCELERE,Not ELL,ELL,0,6.0,Q34,The atmosphere at this school is positive,School Climate,ACCELERE,1217,OPS,ACCELERE
9,744.0,ALT,ACCELERE,ELL,ELL,1,2.0,Q34,The atmosphere at this school is positive,School Climate,ACCELERE,1217,OPS,ACCELERE
10,745.0,ALT,ACCELERE,Former ELL,ELL,1,3.0,Q34,The atmosphere at this school is positive,School Climate,ACCELERE,1217,OPS,ACCELERE
11,746.0,ALT,ACCELERE,Not ELL,ELL,1,11.0,Q34,The atmosphere at this school is positive,School Climate,ACCELERE,1217,OPS,ACCELERE
12,992.0,ALT,ACCELERE,ELL,ELL,2,0.0,Q34,The atmosphere at this school is positive,School Climate,ACCELERE,1217,OPS,ACCELERE
13,993.0,ALT,ACCELERE,Former ELL,ELL,2,1.0,Q34,The atmosphere at this school is positive,School Climate,ACCELERE,1217,OPS,ACCELERE
14,994.0,ALT,ACCELERE,Not ELL,ELL,2,3.0,Q34,The atmosphere at this school is positive,School Climate,ACCELERE,1217,OPS,ACCELERE
15,1240.0,ALT,ACCELERE,ELL,ELL,(blank),,Q34,The atmosphere at this school is positive,School Climate,ACCELERE,1217,OPS,ACCELERE
16,1241.0,ALT,ACCELERE,Former ELL,ELL,(blank),,Q34,The atmosphere at this school is positive,School Climate,ACCELERE,1217,OPS,ACCELERE
17,1242.0,ALT,ACCELERE,Not ELL,ELL,(blank),,Q34,The atmosphere at this school is positive,School Climate,ACCELERE,1217,OPS,ACCELERE
18,1488.0,ALT,ACCELERE,ELL,ELL,disagree,0.0,Q34,The atmosphere at this school is positive,School Climate,ACCELERE,1217,OPS,ACCELERE
19,1489.0,ALT,ACCELERE,Former ELL,ELL,disagree,0.0,Q34,The atmosphere at this school is positive,School Climate,ACCELERE,1217,OPS,ACCELERE
